City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
395,Abu Dhabi,AE,60.82,mist,24.4667,54.3667,Ramee Garden Hotel Apartments
401,Wanaka,NZ,63.1,clear sky,-44.7,169.15,Wanaka Homestead Lodge and Cottages
402,Shimoda,JP,51.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
405,Fort Abbas,PK,51.6,clear sky,29.1925,72.8536,AsAd's House
406,Fortuna,US,48.92,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
422,Symington,GB,47.52,overcast clouds,55.6018,-3.5953,Tinto Hotel
433,Abeche,TD,61.59,few clouds,13.8292,20.8324,Assaleh Hamdan Haroune
436,Amparafaravola,MG,60.13,broken clouds,-17.5833,48.2167,Aina Franco
452,Jaumave,MX,59.95,overcast clouds,23.4167,-99.3833,HOTEL CIENEGA
454,Tura,IN,57.85,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
455,Ponta Delgada,PT,58.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
460,Gat,IL,47.08,overcast clouds,31.61,34.7642,OlusHome
464,Kadoma,JP,48.2,scattered clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
467,Praia Da Vitoria,PT,57.76,broken clouds,38.7333,-27.0667,Hotel Branco I
469,Labe,GN,63.41,scattered clouds,11.3182,-12.2833,Hôtel Djamtum
470,Pasighat,IN,57.29,overcast clouds,28.0667,95.3333,Siang Guest House
471,Mbeya,TZ,59.58,light rain,-8.9,33.45,Leda Lodge
473,Saurikh,IN,46.2,clear sky,27.029,79.4896,Raza Biryani& Shami Kabab Shop
488,Jackson,US,56.44,clear sky,42.4165,-122.8345,Agate Village Apartments
489,Nara,JP,47.52,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
492,Youghal,IE,51.1,overcast clouds,51.95,-7.8506,Quality Hotel and Leisure Centre Youghal
525,Bam,IR,50.23,clear sky,29.106,58.357,Bam Tourist Hotel
543,Los Llanos De Aridane,ES,56.95,broken clouds,28.6585,-17.9182,Valle Aridane
546,Ahmadpur Sial,PK,46.27,clear sky,30.6754,71.7483,Zahid Bhai Home
553,Salinas,US,63.41,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
561,Mae Ramat,TH,62.92,clear sky,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
562,Oyama,JP,50.61,clear sky,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
569,Camargo,MX,59.72,clear sky,27.6667,-105.1667,Hotel Santa Fe
573,Moussoro,TD,61.29,clear sky,13.6408,16.4901,Hôtel Salama
582,Abu Kamal,SY,46.98,broken clouds,34.4506,40.9171,محطة التلفاز
585,Camacha,PT,56.16,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
589,Glenluce,GB,50.29,overcast clouds,54.8798,-4.8084,Old Port Store
604,Jaisalmer,IN,51.6,clear sky,26.9147,70.9181,Hotel Fifu
608,Russell,US,49.28,clear sky,32.3502,-85.1999,Macs
612,Puri,IN,64.92,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
613,Almonte,ES,53.28,overcast clouds,37.2647,-6.5167,Viajes Halcon
615,Umm Lajj,SA,62.94,scattered clouds,25.0213,37.2685,Moon light Furnished Units
641,Sonoita,MX,61.54,overcast clouds,31.85,-112.8333,Santa Ana
645,Llangefni,GB,51.66,mist,53.2556,-4.3106,Bull Hotel
646,Khair,IN,45.61,clear sky,27.95,77.8333,मुंबई चौपाटी
656,Rusape,ZW,62.24,overcast clouds,-18.5278,32.1284,Surrey Lodge
658,Inyonga,TZ,63.18,light rain,-6.7167,32.0667,Eden Rock Lodge
659,Atar,MR,63.32,scattered clouds,20.5169,-13.0499,Oumou Elghoura
663,Lagoa,PT,58.66,few clouds,39.05,-27.9833,Casa Das Faias
