City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
59,Hofn,IS,2022-01-27 01:13:24,64.2539,-15.2082,31.48,53,100,9.19,overcast clouds
60,Hegang,CN,2022-01-27 01:17:13,47.4,130.3667,4.86,83,7,4.18,clear sky
61,Atuona,PF,2022-01-27 01:17:14,-9.8,-139.0333,78.78,79,12,17.4,few clouds
62,Khorol,UA,2022-01-27 01:17:15,49.7837,33.2783,18.01,97,100,2.59,overcast clouds
63,Portel,BR,2022-01-27 01:17:16,-1.9356,-50.8211,73.53,95,100,2.71,overcast clouds
64,Synya,RU,2022-01-27 01:17:17,65.3718,58.0387,12.43,93,100,8.05,overcast clouds
65,Vologda,RU,2022-01-27 01:17:18,59.2187,39.8886,-3.48,100,100,4.34,overcast clouds
66,New Norfolk,AU,2022-01-27 01:13:31,-42.7826,147.0587,71.1,93,100,2.71,overcast clouds
67,Sindgi,IN,2022-01-27 01:17:19,16.9167,76.2333,62.94,51,0,9.15,clear sky
68,Riyadh,SA,2022-01-27 01:15:25,24.6877,46.7219,60.94,31,0,11.88,clear sky
69,Bilma,NE,2022-01-27 01:17:20,18.6853,12.9164,52.86,35,16,10.22,few clouds
70,San Francisco,US,2022-01-27 01:15:03,37.7749,-122.4194,62.26,67,0,1.01,haze
71,Cockburn Town,TC,2022-01-27 01:17:22,21.4612,-71.1419,77.77,73,0,13.22,clear sky
72,Faya,SA,2022-01-27 01:13:01,18.3851,42.4509,54.12,64,3,6.22,clear sky
73,Mataura,NZ,2022-01-27 01:16:25,-46.1927,168.8643,58.48,42,53,7.31,broken clouds
74,Victoria,HK,2022-01-27 01:13:13,22.2855,114.1577,69.85,87,60,1.99,broken clouds
75,Karratha,AU,2022-01-27 01:17:25,-20.7377,116.8463,86.13,50,0,16.49,clear sky
76,Wellington,NZ,2022-01-27 01:15:31,-41.2866,174.7756,70.77,60,20,4.0,few clouds
77,Carballo,ES,2022-01-27 01:17:27,43.213,-8.691,45.68,88,0,2.93,clear sky
78,Port Elizabeth,ZA,2022-01-27 01:17:27,-33.918,25.5701,67.1,94,100,6.91,light rain
79,Saldanha,ZA,2022-01-27 01:17:28,-33.0117,17.9442,59.05,92,0,11.12,clear sky
80,Etah,IN,2022-01-27 01:17:29,27.6333,78.6667,45.81,81,0,6.04,clear sky
81,Hermanus,ZA,2022-01-27 01:17:30,-34.4187,19.2345,66.9,87,3,9.15,clear sky
82,Saint-Philippe,RE,2022-01-27 01:16:15,-21.3585,55.7679,71.19,68,51,7.7,broken clouds
83,Rudnogorsk,RU,2022-01-27 01:17:31,57.2639,103.7519,-14.98,100,99,1.07,overcast clouds
84,Serenje,ZM,2022-01-27 01:17:32,-13.2325,30.2352,60.22,98,100,4.32,overcast clouds
85,Okato,NZ,2022-01-27 01:17:33,-39.2,173.8833,70.92,50,10,12.5,clear sky
86,Sitka,US,2022-01-27 01:18:34,57.0531,-135.33,37.29,87,40,4.61,scattered clouds
87,Tilichiki,RU,2022-01-27 01:18:35,60.4667,166.1,17.24,95,100,9.71,light snow
88,Cap-Aux-Meules,CA,2022-01-27 01:18:36,47.3821,-61.8597,15.85,79,100,20.71,overcast clouds
89,Mar Del Plata,AR,2022-01-27 01:16:01,-38.0023,-57.5575,64.09,71,40,4.0,scattered clouds
90,Nikolskoye,RU,2022-01-27 01:18:37,59.7035,30.7861,25.88,93,100,10.71,snow
91,Bluff,NZ,2022-01-27 01:18:39,-46.6,168.3333,58.8,56,47,11.34,scattered clouds
92,Chokurdakh,RU,2022-01-27 01:18:40,70.6333,147.9167,-27.67,97,33,12.37,scattered clouds
93,Barrow,US,2022-01-27 01:18:40,71.2906,-156.7887,-12.98,77,0,14.97,clear sky
94,Ambulu,ID,2022-01-27 01:18:42,-8.345,113.6058,80.62,82,100,2.3,overcast clouds
95,Dunedin,NZ,2022-01-27 01:18:44,-45.8742,170.5036,58.8,58,56,13.0,broken clouds
96,Narsaq,GL,2022-01-27 01:18:44,60.9167,-46.05,19.62,72,97,16.84,overcast clouds
97,Kodiak,US,2022-01-27 01:17:56,57.79,-152.4072,35.11,93,100,11.5,light snow
98,Faanui,PF,2022-01-27 01:18:46,-16.4833,-151.75,81.07,77,27,18.52,light rain
99,Hauterive,FR,2022-01-27 01:18:47,46.0901,3.4459,27.01,86,7,2.95,clear sky
100,Leningradskiy,RU,2022-01-27 01:18:48,69.3833,178.4167,-25.44,90,8,3.56,clear sky
101,Farmington,US,2022-01-27 01:15:00,36.7281,-108.2187,38.08,46,0,6.91,clear sky
102,Natal,BR,2022-01-27 01:17:04,-5.795,-35.2094,79.02,89,40,4.61,scattered clouds
103,Saint-Pierre,RE,2022-01-27 01:18:51,-21.3393,55.4781,71.28,64,40,11.5,scattered clouds
104,Arraial Do Cabo,BR,2022-01-27 01:18:52,-22.9661,-42.0278,75.51,86,1,26.84,clear sky
105,Makakilo City,US,2022-01-27 01:18:53,21.3469,-158.0858,79.12,51,0,11.5,clear sky
106,Salinopolis,BR,2022-01-27 01:18:54,-0.6136,-47.3561,79.41,82,100,8.63,overcast clouds
107,Thompson,CA,2022-01-27 01:18:56,55.7435,-97.8558,-3.84,71,40,16.11,scattered clouds
108,Esperance,AU,2022-01-27 01:18:39,-33.8667,121.9,64.24,80,100,7.09,overcast clouds
109,Chunoyar,RU,2022-01-27 01:18:57,57.4467,97.3217,4.5,98,100,2.82,overcast clouds
110,College,US,2022-01-27 01:17:24,64.8569,-147.8028,-2.22,77,40,0.0,scattered clouds
111,Matara,LK,2022-01-27 01:18:58,5.9485,80.5353,71.01,90,99,4.21,overcast clouds
112,Eskil,TR,2022-01-27 01:18:59,38.4017,33.4131,12.16,97,100,3.38,light snow
113,Te Anau,NZ,2022-01-27 01:19:00,-45.4167,167.7167,60.73,41,35,3.8,scattered clouds
114,Vakhrushev,RU,2022-01-27 01:19:01,48.9833,142.9667,7.12,85,68,5.19,broken clouds
115,Bethel,US,2022-01-27 01:19:02,41.3712,-73.414,21.49,56,0,5.75,clear sky
116,Kavieng,PG,2022-01-27 01:19:03,-2.5744,150.7967,83.97,75,100,8.93,light rain
117,Porto Novo,BJ,2022-01-27 01:19:04,6.4965,2.6036,76.82,83,0,2.26,clear sky
118,Takoradi,GH,2022-01-27 01:19:05,4.8845,-1.7554,78.55,88,0,5.48,clear sky
119,Chitral,PK,2022-01-27 01:19:06,35.8462,71.7858,18.45,40,0,9.53,clear sky
120,Akom,CM,2022-01-27 01:19:07,2.6678,12.7109,65.48,41,58,1.39,broken clouds
121,Lokosovo,RU,2022-01-27 01:19:08,61.1333,74.8167,-2.97,99,100,5.61,overcast clouds
122,Nizhneudinsk,RU,2022-01-27 01:14:52,54.9076,99.0276,4.48,97,100,1.59,overcast clouds
123,Bratsk,RU,2022-01-27 01:19:09,56.1325,101.6142,-3.51,100,100,1.52,overcast clouds
124,Lavrentiya,RU,2022-01-27 01:19:10,65.5833,-171.0,-18.18,88,27,5.01,scattered clouds
125,Huangcun,CN,2022-01-27 01:19:11,30.0145,118.4037,41.04,95,100,4.52,overcast clouds
126,Egvekinot,RU,2022-01-27 01:19:12,66.3167,-179.1667,-15.63,85,100,0.72,overcast clouds
127,Mecca,SA,2022-01-27 01:19:13,21.4267,39.8261,65.1,56,94,15.17,overcast clouds
128,Banda Aceh,ID,2022-01-27 01:20:14,5.5577,95.3222,79.45,78,30,4.38,scattered clouds
129,Maceio,BR,2022-01-27 01:15:56,-9.6658,-35.7353,81.84,83,75,5.75,broken clouds
130,Albany,US,2022-01-27 01:16:20,42.6001,-73.9662,12.4,57,3,4.0,clear sky
131,Mount Gambier,AU,2022-01-27 01:20:15,-37.8333,140.7667,88.18,46,1,7.2,clear sky
132,Richards Bay,ZA,2022-01-27 01:20:16,-28.783,32.0377,73.0,96,34,6.55,scattered clouds
