City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Batagay-Alyta,RU,2022-01-24 00:10:48,67.8006,130.4114,-11.78,90,100,1.25
68,Vila Franca Do Campo,PT,2022-01-24 00:10:41,37.7167,-25.4333,59.2,70,27,6.02
69,Fort Nelson,CA,2022-01-24 00:07:10,58.8053,-122.7002,26.44,95,90,0.38
70,Omboue,GA,2022-01-24 00:10:49,-1.5746,9.2618,76.57,86,32,6.53
71,Nikolskoye,RU,2022-01-24 00:10:50,59.7035,30.7861,26.87,93,96,8.66
72,Souillac,MU,2022-01-24 00:09:27,-20.5167,57.5167,78.37,78,68,7.45
73,Honiara,SB,2022-01-24 00:10:51,-9.4333,159.95,87.48,67,82,6.98
74,Saint-Joseph,RE,2022-01-24 00:10:51,-21.3667,55.6167,77.36,81,44,9.42
75,Nuuk,GL,2022-01-24 00:10:52,64.1835,-51.7216,20.59,74,100,10.83
76,Tongliao,CN,2022-01-24 00:07:59,43.6125,122.2653,0.14,94,100,3.09
77,Vieira De Leiria,PT,2022-01-24 00:10:53,39.8695,-8.9324,50.99,69,2,5.28
78,Hermanus,ZA,2022-01-24 00:10:54,-34.4187,19.2345,67.89,93,71,7.58
79,Longyearbyen,SJ,2022-01-24 00:10:54,78.2186,15.6401,13.84,79,0,13.8
80,Rio Grande,BR,2022-01-24 00:10:54,-32.035,-52.0986,78.94,91,66,9.44
81,Darhan,MN,2022-01-24 00:10:55,49.4867,105.9228,2.23,98,100,1.81
82,Los Llanos De Aridane,ES,2022-01-24 00:10:55,28.6585,-17.9182,60.55,88,20,8.99
83,Mlowo,TZ,2022-01-24 00:10:56,-9.0,32.9833,58.03,99,100,3.02
84,Cap Malheureux,MU,2022-01-24 00:10:56,-19.9842,57.6142,78.48,84,40,3.0
85,Dunedin,NZ,2022-01-24 00:10:56,-45.8742,170.5036,56.8,75,100,5.99
86,Neiafu,TO,2022-01-24 00:10:57,-18.65,-173.9833,88.48,74,40,4.61
87,Nome,US,2022-01-24 00:08:07,64.5011,-165.4064,3.27,78,0,0.0
88,Khor,RU,2022-01-24 00:10:58,47.8861,134.9464,-14.55,100,99,3.71
89,Kapaa,US,2022-01-24 00:10:58,22.0752,-159.319,79.48,71,20,1.01
90,Viedma,AR,2022-01-24 00:10:58,-40.8135,-62.9967,80.89,26,16,19.22
91,Tricase,IT,2022-01-24 00:10:59,39.9304,18.3553,41.32,52,29,24.02
92,Kaeo,NZ,2022-01-24 00:10:59,-35.1,173.7833,71.33,87,100,11.45
93,Alamogordo,US,2022-01-24 00:10:27,32.8995,-105.9603,45.21,69,100,6.91
94,Vaini,TO,2022-01-24 00:12:00,-21.2,-175.2,81.36,76,26,11.48
95,Najran,SA,2022-01-24 00:12:01,17.4924,44.1277,55.62,45,5,0.72
96,Qaanaaq,GL,2022-01-24 00:12:02,77.484,-69.3632,-4.31,77,100,3.6
97,Russell,US,2022-01-24 00:07:26,32.3502,-85.1999,46.0,56,0,4.61
98,Lavrentiya,RU,2022-01-24 00:12:03,65.5833,-171.0,9.14,97,100,4.16
99,Tigil,RU,2022-01-24 00:12:04,57.8,158.6667,2.82,95,99,2.24
100,Itoman,JP,2022-01-24 00:12:04,26.1247,127.6694,70.57,92,75,14.97
101,Linfen,CN,2022-01-24 00:12:05,36.0889,111.5189,32.38,92,96,4.56
102,Saint-Francois,FR,2022-01-24 00:12:06,46.4154,3.9054,33.48,92,100,2.3
